,adm1,city,count,country,lat,lng
74,Illinois,Chicago,5.0,United States,41.8781136,-87.62979820000001
75,Donetsk Oblast,Slovyansk,5.0,Ukraine,48.8532,37.6053
76,Dnipropetrovsk Oblast,Pavlohrad,5.0,Ukraine,48.516667,35.866667
77,Vienna,Vienna,5.0,Austria,48.208174299999996,16.3738189
78,Lviv Oblast,Novyi Rozdil,5.0,Ukraine,49.471944,24.133333
79,Lviv Oblast,Stebnyk,5.0,Ukraine,49.3,23.566667000000002
80,Ternopil's'ka oblast,Pidvolochys'k,5.0,Ukraine,49.52638899999999,26.141389
81,Lviv Oblast,Truskavets,5.0,Ukraine,49.280556,23.505
82,Rivnens'ka oblast,Kuznetsovsk,4.0,Ukraine,51.34365529999999,25.8490867
83,Volyns'ka oblast,Kovel',4.0,Ukraine,51.216667,24.716667
84,Alexandria Governorate,Alexandria,4.0,Egypt,31.2000924,29.9187387
85,Chernihivs'ka oblast,Nizhyn,4.0,Ukraine,51.038056,31.886111
86,Kyivs'ka oblast,Bohuslav,4.0,Ukraine,49.546667,30.872778000000004
87,Khersons'ka oblast,Nova Kakhovka,4.0,Ukraine,46.766667,33.366667
88,Kyivs'ka oblast,Pereyaslav-Khmel'nyts'kyi,4.0,Ukraine,50.066111,31.442221999999997
89,Poltavs'ka oblast,Komsomol's'k,4.0,Ukraine,49.0156679,33.6450451
90,Khmel'nyts'ka oblast,Netishyn,4.0,Ukraine,50.33397309999999,26.650084399999997
91,Lesser Poland Voivodeship,Krakow,4.0,Poland,50.06465009999999,19.9449799
92,Lviv Oblast,Sambir,4.0,Ukraine,49.516667,23.202778
93,Zhytomyrs'ka oblast,Malyn,4.0,Ukraine,50.76888899999999,29.27
94,Silesian Voivodeship,Katowice,4.0,Poland,50.26489189999999,19.023781500000002
95,Kyivs'ka oblast,Slavutych,4.0,Ukraine,51.520556,30.756944
96,Kyivs'ka oblast,Bilohorodka,4.0,Ukraine,50.3750037,30.2227951
97,Odessa Oblast,Izmail,4.0,Ukraine,45.351667,28.836389
98,Cherkas'ka oblast,Smila,4.0,Ukraine,49.227717,31.852233000000002
99,Sums'ka oblast,Hlukhiv,4.0,Ukraine,51.678611,33.911389
100,Lviv Oblast,Horodok,4.0,Ukraine,49.782222,23.643611
101,Greater Poland Voivodeship,Poznan,4.0,Poland,52.406374,16.9251681
102,Sums'ka oblast,Konotop,3.0,Ukraine,51.240943200000004,33.2050521
103,Lviv Oblast,Pustomyty,3.0,Ukraine,49.71388899999999,23.910833
104,Berlin,Berlin,3.0,Germany,52.52000659999999,13.404954
105,Arizona,Goodyear,3.0,United States,33.3671645,-112.38803390000001
106,New York,New York,3.0,United States,40.6781784,-73.94415790000001
107,Ontario,London,3.0,Canada,42.9869502,-81.243177
108,Dnipropetrovsk Oblast,Verkhn'odniprovs'k,3.0,Ukraine,48.656110999999996,34.328333
109,Ontario,Toronto,3.0,Canada,43.653226000000004,-79.3831843
110,Shanghai,Shanghai,3.0,China,31.230415999999998,121.473701
111,Lviv Oblast,Sokal',3.0,Ukraine,50.48333299999999,24.283333
112,Lublin Voivodeship,Lublin,3.0,Poland,51.2464536,22.5684463
113,Poltavs'ka oblast,Lubny,3.0,Ukraine,50.016667,33.0
114,Luhans'ka oblast,Alchevs'k,3.0,Ukraine,48.477778,38.797778
115,Dnipropetrovsk Oblast,Zhovti Vody,3.0,Ukraine,48.34999999999999,33.5
116,Zakarpats'ka oblast,Vynohradiv,3.0,Ukraine,48.149722,23.025
117,Vinnyts'ka oblast,Ladyzhyn,3.0,Ukraine,48.6838051,29.2476274
118,Hlavní město Praha,Prague,3.0,Czech Republic,50.0755381,14.4378005
119,Ternopil's'ka oblast,Zalishchyky,3.0,Ukraine,48.65,25.733333
120,Donetsk Oblast,Yenakijeve,3.0,Ukraine,48.216667,38.2
121,Lazio,Rome,3.0,Italy,41.8723889,12.4801802
122,Khmel'nyts'ka oblast,Slavuta,3.0,Ukraine,50.302778,26.868333000000003
123,Kyivs'ka oblast,Skvyra,3.0,Ukraine,49.7328752,29.6642904
124,Zaporiz'ka oblast,Tokmak,3.0,Ukraine,47.25,35.7
125,Kyivs'ka oblast,Nemishajeve,3.0,Ukraine,50.564721999999996,30.093611
126,Ternopil's'ka oblast,Berezhany,3.0,Ukraine,49.45,24.933332999999998
127,Rostov Oblast,Donets'k,3.0,Russia,48.333333,39.933333000000005
128,Moscow,Moscow,3.0,Russia,55.755826,37.6173
129,Zhytomyrs'ka oblast,Novohrad-Volyns'kyi,3.0,Ukraine,50.583333,27.633333
130,Khersons'ka oblast,Skadovs'k,3.0,Ukraine,46.116667,32.916667
131,Luhans'ka oblast,Lysychans'k,2.0,Ukraine,48.916667,38.4
132,Kyivs'ka oblast,Novi Petrivtsi,2.0,Ukraine,50.623056,30.446389
133,Ivano-Frankivs'ka oblast,Kosiv,2.0,Ukraine,48.315,25.095278
134,Zhytomyrs'ka oblast,Korosten',2.0,Ukraine,50.95,28.633333
135,Vinnyts'ka oblast,Kozyatyn,2.0,Ukraine,49.7149346,28.8363647
136,Kyivs'ka oblast,Sofiivs'ka Borshchahivka,2.0,Ukraine,50.411389,30.36916699999999
137,,Petah Tikva,2.0,Israel,32.084041,34.887762
138,Kharkiv Oblast,Kup'yans'k,2.0,Ukraine,49.701667,37.613333000000004
139,Sums'ka oblast,Romny,2.0,Ukraine,50.75,33.466667
140,Opole Voivodeship,Opole,2.0,Poland,50.6751067,17.921297600000003
141,Kyivs'ka oblast,Chubyns'ke,2.0,Ukraine,50.384314,30.8486288
142,Donetsk Oblast,Dymytrov,2.0,Ukraine,48.296211799999995,37.270003499999994
143,Ivano-Frankivs'ka oblast,Rozhnevi Polya,2.0,Ukraine,48.524444,25.38
144,Donetsk Oblast,Volnovakha,2.0,Ukraine,47.5951141,37.4831419
145,Donetsk Oblast,Krasnoarmiis'k,2.0,Ukraine,48.28277800000001,37.182778000000006
146,Lviv Oblast,Brody,2.0,Ukraine,50.083141,25.15
147,Community of Madrid,Madrid,2.0,Spain,40.4167754,-3.7037902000000003
148,Rivnens'ka oblast,Zdolbuniv,2.0,Ukraine,50.516667,26.25
149,Lviv Oblast,Obroshyne,2.0,Ukraine,49.785278000000005,23.868610999999998
150,Ivano-Frankivs'ka oblast,Yaremche,2.0,Ukraine,48.460278,24.558611
151,Crimea,Nyzhn'ohirs'kyi,2.0,,45.4465898,34.7383516
152,Kyivs'ka oblast,Tarashcha,2.0,Ukraine,49.55,30.5
153,Crimea,Kerch,2.0,,45.357314,36.468293
154,Khersons'ka oblast,Stanislav,2.0,Ukraine,46.57000000000001,32.15
155,Poltavs'ka oblast,Hadyach,2.0,Ukraine,50.366667,34.0
156,Luhans'ka oblast,Krasnodon,2.0,Ukraine,48.3,39.73333299999999
157,Donetsk Oblast,Druzhkivka,2.0,Ukraine,48.621389,37.527778000000005
158,Lviv Oblast,Boryslav,2.0,Ukraine,49.289167,23.418889
159,Rivnens'ka oblast,Sarny,2.0,Ukraine,51.337222,26.605833
160,Zakarpats'ka oblast,Perechyn,2.0,Ukraine,48.734167,22.474167
161,Odessa Oblast,Bilhorod-Dnistrovs'kyi,2.0,Ukraine,46.183333000000005,30.333333000000003
162,Beijing,Beijing,2.0,China,39.90403,116.407526
163,Crimea,Feodosiya,2.0,,45.031933,35.382433
164,Kirovohrads'ka oblast,Oleksandriya,2.0,Ukraine,48.666667,33.116667
165,Cairo Governorate,Cairo,2.0,Egypt,30.0444196,31.235711600000005
166,Ivano-Frankivs'ka oblast,Snyatyn,2.0,Ukraine,48.45,25.566667000000002
167,Donetsk Oblast,Kostyantynivka,2.0,Ukraine,48.533333,37.716667
168,Kyivs'ka oblast,Yahotyn,2.0,Ukraine,50.2455224,31.786695
169,Миколаївська обл.,Pervomais'k,2.0,Ukraine,48.0497033,30.83256129999999
170,Catalonia,Lleida,2.0,Spain,41.6175899,0.6200146
171,Poltavs'ka oblast,Hradyz'k,2.0,Ukraine,49.233069,33.132037
172,Chernivets'ka oblast,Hlyboka,2.0,Ukraine,48.083333,25.933332999999998
173,Bavaria,Munich,2.0,Germany,48.1351253,11.5819806
174,Kyivs'ka oblast,Ivankiv,2.0,Ukraine,50.933333000000005,29.9
175,Kyivs'ka oblast,Makariv,2.0,Ukraine,50.459722,29.814721999999996
176,Donetsk Oblast,Krasnyi Lyman,2.0,Ukraine,48.9897585,37.8049964
177,Ivano-Frankivs'ka oblast,Nadvirna,2.0,Ukraine,48.633333,24.583333
178,Dnipropetrovsk Oblast,Pershotravens'k,2.0,Ukraine,48.34638899999999,36.404444
179,Ivano-Frankivs'ka oblast,Burshtyn,2.0,Ukraine,49.266667,24.633333
180,Kyivs'ka oblast,Novosilky,2.0,Ukraine,50.354444,30.454444
181,Cherkas'ka oblast,Zolotonosha,2.0,Ukraine,49.666667,32.033333
182,Donetsk Oblast,Dobropillya,2.0,Ukraine,48.420039,37.052291
183,Rīgas pilsēta,Rīga,2.0,Latvia,56.94964870000001,24.105186399999997
184,Crimea,Dzhankoi,2.0,,45.7089869,34.3874785
185,Luhans'ka oblast,Stakhanov,2.0,Ukraine,48.566666999999995,38.65
186,Luhans'ka oblast,Svatove,2.0,Ukraine,49.416667,38.15
187,Crimea,Yalta,2.0,,44.49520500000001,34.166301000000004
188,Kyivs'ka oblast,Demydiv,2.0,Ukraine,50.727222,30.327221999999995
189,Khmel'nyts'ka oblast,Polonne,2.0,Ukraine,50.116667,27.516666999999998
190,Dublin,Dublin,2.0,Ireland,53.34980529999999,-6.2603097000000005
191,Zakarpats'ka oblast,Khust,2.0,Ukraine,48.181389,23.297778
192,Saint Petersburg,Saint Petersburg,2.0,Russia,59.9342802,30.335098600000002
193,Vitebsk Province,Haradok,2.0,Belarus,55.466666999999994,30.0
194,Kharkiv Oblast,Zmiiv,2.0,Ukraine,49.6944064,36.3595476
195,Baden-Württemberg,Stuttgart,2.0,Germany,48.7754181,9.1817588
196,Dnipropetrovsk Oblast,Novomoskovs'k,2.0,Ukraine,48.633333,35.216667
197,Lviv Oblast,Sokilnyky,1.0,Ukraine,49.77694400000001,23.961389
198,Salzburg,Salzburg,1.0,Austria,47.809490000000004,13.055010000000001
199,Poltavs'ka oblast,Chervonozavods'ke,1.0,Ukraine,50.402466499999996,33.38474980000001
200,Andalusia,Huelva,1.0,Spain,37.261421,-6.9447224
201,North Rhine-Westphalia,Fröndenberg,1.0,Germany,51.471944,7.7658330000000015
202,Dnipropetrovsk Oblast,Marhanets',1.0,Ukraine,47.639722,34.636389
203,Kirovohrads'ka oblast,Znam'yanka,1.0,Ukraine,48.713611,32.673333
204,Mykolaivs'ka oblast,Ol'shans'ke,1.0,Ukraine,47.184444,31.793889
205,Ivano-Frankivs'ka oblast,Broshniv-Osada,1.0,Ukraine,48.999444,24.181389000000003
206,Donetsk Oblast,Oleksandrivka,1.0,Ukraine,48.7,36.916667
207,Primorsky Krai,Primorsky,1.0,Russia,43.098611,131.591667
208,Cherkas'ka oblast,Kaniv,1.0,Ukraine,49.751033,31.4697
209,Zaporiz'ka oblast,Orikhiv,1.0,Ukraine,47.566666999999995,35.783333
210,,Sumgayit,1.0,Azerbaijan,40.556985600000004,49.6989473
211,Donetsk Oblast,Selydove,1.0,Ukraine,48.15,37.303889
212,Rivnens'ka oblast,Maslyanka,1.0,Ukraine,50.530833,25.613889
213,Luhans'ka oblast,Kreminna,1.0,Ukraine,49.05,38.2167
214,Odessa Oblast,Liubashivka,1.0,Ukraine,47.083333,30.033333000000002
215,Uusimaa,Helsinki,1.0,Finland,60.17332440000001,24.9410248
216,Volyns'ka oblast,Lyuboml',1.0,Ukraine,51.223056,24.037778
217,Cherkas'ka oblast,Horodyshche,1.0,Ukraine,49.2890933,31.444505100000004
218,Pomeranian Voivodeship,Kwidzyn,1.0,Poland,53.72635289999999,18.932304300000002
219,California,San Francisco,1.0,United States,37.7749295,-122.4194155
220,Chernivets'ka oblast,P'yadykivtsi,1.0,Ukraine,48.38,25.651667
221,Lazio,Ariccia,1.0,Italy,41.7211083,12.6726413
222,Khmel'nyts'ka oblast,Nova Ushytsya,1.0,Ukraine,48.835,27.271389000000003
223,Zakarpats'ka oblast,Zahattya,1.0,Ukraine,48.398027299999995,22.9507674
224,Dnipropetrovsk Oblast,Bashmachka,1.0,Ukraine,48.156019,35.010940999999995
225,Odessa Oblast,Kholodna Balka,1.0,Ukraine,46.6,30.583333000000003
226,Lviv Oblast,Vuzlove,1.0,Ukraine,50.225258000000004,24.547098899999998
227,Chernivets'ka oblast,Khotyn,1.0,Ukraine,48.5,26.5
228,Alberta,Calgary,1.0,Canada,51.04532460000001,-114.05810120000001
229,Chernihivs'ka oblast,Ichnia,1.0,Ukraine,51.25,32.6
230,Ternopil's'ka oblast,Husyatyn,1.0,Ukraine,49.073147,26.1831731
231,Lviv Oblast,Rudky,1.0,Ukraine,49.653056,23.488056
232,Kyivs'ka oblast,Khotiv,1.0,Ukraine,50.333333,30.46666699999999
233,Azuay,Cuenca,1.0,Ecuador,-2.9001285,-79.00589649999998
234,Donetsk Oblast,Korsun',1.0,Ukraine,48.209722,38.073333
235,Red Sea Governorate,Hurghada,1.0,Egypt,27.2578957,33.811606700000006
236,Dnipropetrovsk Oblast,Synel'nykove,1.0,Ukraine,48.3167,35.5167
237,Kharkiv Oblast,Izyum,1.0,Ukraine,49.21277800000001,37.256944
238,Kyivs'ka oblast,Pohreby,1.0,Ukraine,50.549167,30.64083299999999
239,Kharkiv Oblast,Khlibne,1.0,Ukraine,48.9265826,36.2743664
240,Vinnyts'ka oblast,Chechel'nyk,1.0,Ukraine,48.217,29.35
241,State of Rio de Janeiro,Rio de Janeiro,1.0,Brazil,-22.9082998,-43.1970773
242,Volyns'ka oblast,Lyubeshiv,1.0,Ukraine,51.75506729999999,25.498235
243,,İstanbul,1.0,Turkey,41.00527,28.97696
244,Lviv Oblast,Velyka Vil'shanytsya,1.0,Ukraine,49.80694399999999,24.662778
