origin,exception
україни киевская обл фастівський р н пос.боровая,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8+%D0%BA%D0%B8%D0%B5%D0%B2%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B1%D0%BB+%D1%84%D0%B0%D1%81%D1%82%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9+%D1%80+%D0%BD+%D0%BF%D0%BE%D1%81.%D0%B1%D0%BE%D1%80%D0%BE%D0%B2%D0%B0%D1%8F&components=&sensor=false&language=&bounds="
село тернувате кривоозерського району миколаївська область,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D1%81%D0%B5%D0%BB%D0%BE+%D1%82%D0%B5%D1%80%D0%BD%D1%83%D0%B2%D0%B0%D1%82%D0%B5+%D0%BA%D1%80%D0%B8%D0%B2%D0%BE%D0%BE%D0%B7%D0%B5%D1%80%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%D1%83+%D0%BC%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C&components=&sensor=false&language=&bounds="
кам'янця подільського,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BA%D0%B0%D0%BC%27%D1%8F%D0%BD%D1%86%D1%8F+%D0%BF%D0%BE%D0%B4%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE&components=&sensor=false&language=&bounds="
смт середня ужгородський р н закарпатської обл,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D1%81%D0%BC%D1%82+%D1%81%D0%B5%D1%80%D0%B5%D0%B4%D0%BD%D1%8F+%D1%83%D0%B6%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D1%8C%D0%BA%D0%B8%D0%B9+%D1%80+%D0%BD+%D0%B7%D0%B0%D0%BA%D0%B0%D1%80%D0%BF%D0%B0%D1%82%D1%81%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB&components=&sensor=false&language=&bounds="
ганнівка тисменицького рн івано франківськ обл,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%B3%D0%B0%D0%BD%D0%BD%D1%96%D0%B2%D0%BA%D0%B0+%D1%82%D0%B8%D1%81%D0%BC%D0%B5%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE+%D1%80%D0%BD+%D1%96%D0%B2%D0%B0%D0%BD%D0%BE+%D1%84%D1%80%D0%B0%D0%BD%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA+%D0%BE%D0%B1%D0%BB&components=&sensor=false&language=&bounds="
м.яворів львівський обл,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC.%D1%8F%D0%B2%D0%BE%D1%80%D1%96%D0%B2+%D0%BB%D1%8C%D0%B2%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9+%D0%BE%D0%B1%D0%BB&components=&sensor=false&language=&bounds="
м.ковель волинської обл,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC.%D0%BA%D0%BE%D0%B2%D0%B5%D0%BB%D1%8C+%D0%B2%D0%BE%D0%BB%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB&components=&sensor=false&language=&bounds="
йоган даних,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%B9%D0%BE%D0%B3%D0%B0%D0%BD+%D0%B4%D0%B0%D0%BD%D0%B8%D1%85&components=&sensor=false&language=&bounds="
м вінниця вул нагір'я 21ж кв 26,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC+%D0%B2%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8F+%D0%B2%D1%83%D0%BB+%D0%BD%D0%B0%D0%B3%D1%96%D1%80%27%D1%8F+21%D0%B6+%D0%BA%D0%B2+26&components=&sensor=false&language=&bounds="
полк що м донецьк донецьк це україни,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BF%D0%BE%D0%BB%D0%BA+%D1%89%D0%BE+%D0%BC+%D0%B4%D0%BE%D0%BD%D0%B5%D1%86%D1%8C%D0%BA+%D0%B4%D0%BE%D0%BD%D0%B5%D1%86%D1%8C%D0%BA+%D1%86%D0%B5+%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8&components=&sensor=false&language=&bounds="
м.хорол полтавський обл,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC.%D1%85%D0%BE%D1%80%D0%BE%D0%BB+%D0%BF%D0%BE%D0%BB%D1%82%D0%B0%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9+%D0%BE%D0%B1%D0%BB&components=&sensor=false&language=&bounds="
проживаю в міста бровари працю в місті києві,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BF%D1%80%D0%BE%D0%B6%D0%B8%D0%B2%D0%B0%D1%8E+%D0%B2+%D0%BC%D1%96%D1%81%D1%82%D0%B0+%D0%B1%D1%80%D0%BE%D0%B2%D0%B0%D1%80%D0%B8+%D0%BF%D1%80%D0%B0%D1%86%D1%8E+%D0%B2+%D0%BC%D1%96%D1%81%D1%82%D1%96+%D0%BA%D0%B8%D1%94%D0%B2%D1%96&components=&sensor=false&language=&bounds="
м городок проживаю м львів праці,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC+%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BE%D0%BA+%D0%BF%D1%80%D0%BE%D0%B6%D0%B8%D0%B2%D0%B0%D1%8E+%D0%BC+%D0%BB%D1%8C%D0%B2%D1%96%D0%B2+%D0%BF%D1%80%D0%B0%D1%86%D1%96&components=&sensor=false&language=&bounds="
бодров турнір,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%B1%D0%BE%D0%B4%D1%80%D0%BE%D0%B2+%D1%82%D1%83%D1%80%D0%BD%D1%96%D1%80&components=&sensor=false&language=&bounds="
бежен из зоні ато,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%B1%D0%B5%D0%B6%D0%B5%D0%BD+%D0%B8%D0%B7+%D0%B7%D0%BE%D0%BD%D1%96+%D0%B0%D1%82%D0%BE&components=&sensor=false&language=&bounds="
київська обл м.бровари,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BA%D0%B8%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB+%D0%BC.%D0%B1%D1%80%D0%BE%D0%B2%D0%B0%D1%80%D0%B8&components=&sensor=false&language=&bounds="
м шостак сум.обл україни,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC+%D1%88%D0%BE%D1%81%D1%82%D0%B0%D0%BA+%D1%81%D1%83%D0%BC.%D0%BE%D0%B1%D0%BB+%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8&components=&sensor=false&language=&bounds="
червоноград львівський обл,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D1%87%D0%B5%D1%80%D0%B2%D0%BE%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4+%D0%BB%D1%8C%D0%B2%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9+%D0%BE%D0%B1%D0%BB&components=&sensor=false&language=&bounds="
с.дмитрівка богодухівського р ну харківська обл,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D1%81.%D0%B4%D0%BC%D0%B8%D1%82%D1%80%D1%96%D0%B2%D0%BA%D0%B0+%D0%B1%D0%BE%D0%B3%D0%BE%D0%B4%D1%83%D1%85%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE+%D1%80+%D0%BD%D1%83+%D1%85%D0%B0%D1%80%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB&components=&sensor=false&language=&bounds="
с оборони долинського району івано франківської області україни,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D1%81+%D0%BE%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B8+%D0%B4%D0%BE%D0%BB%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%D1%83+%D1%96%D0%B2%D0%B0%D0%BD%D0%BE+%D1%84%D1%80%D0%B0%D0%BD%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%96+%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8&components=&sensor=false&language=&bounds="
м донецька донедавна м.київ наталі,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC+%D0%B4%D0%BE%D0%BD%D0%B5%D1%86%D1%8C%D0%BA%D0%B0+%D0%B4%D0%BE%D0%BD%D0%B5%D0%B4%D0%B0%D0%B2%D0%BD%D0%B0+%D0%BC.%D0%BA%D0%B8%D1%97%D0%B2+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%96&components=&sensor=false&language=&bounds="
